gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score
OPHN1	20	0	0	20	0	0.0	0.0	0.0
PTPN13	20	0	0	20	0	0.0	0.0	0.0
CTNNA3	20	0	0	20	0	0.0	0.0	0.0
FNDC3B	20	0	0	20	0	0.0	0.0	0.0
AASS	20	0	0	20	0	0.0	0.0	0.0
SPOCK1	20	0	1	19	1	0.0056858255015216795	0.0	0.003941113915535589
ADAMTS6	20	0	0	20	0	0.0	0.0	0.0
CALCRL	20	0	0	20	0	0.0	0.0	0.0
CA10	20	0	0	20	0	0.0	0.0	0.0
ITGB5	20	0	0	20	0	0.0	0.0	0.0
COL4A5	16	0	1	15	1	0.005725865266694143	0.0	0.003968867365875164
ANK3	20	0	0	20	0	0.0	0.0	0.0
SCN2A	20	0	0	20	0	0.0	0.0	0.0
TRPM3	20	0	1	19	1	0.006590411205512036	0.0	0.004568124945831338
MYT1L	20	0	0	20	0	0.0	0.0	0.0
GABRB1	20	0	0	20	0	0.0	0.0	0.0
DSCAML1	20	0	0	20	0	0.0	0.0	0.0
NXPH1	20	0	0	20	0	0.0	0.0	0.0
EEPD1	20	0	0	20	0	0.0	0.0	0.0
LMX1B	20	0	0	20	0	0.0	0.0	0.0
CECR2	20	0	0	20	0	0.0	0.0	0.0
HS3ST5	20	0	0	20	0	0.0	0.0	0.0
ERC2	20	0	0	20	0	0.0	0.0	0.0
RGMA	20	0	0	20	0	0.0	0.0	0.0
GRIA2	20	0	0	20	0	0.0	0.0	0.0
CHSY3	20	0	0	20	0	0.0	0.0	0.0
GRID2	20	0	0	20	0	0.0	0.0	0.0
RBFOX1	20	0	2	18	1	0.014929580597122242	0.0	0.016401820708659472
SPOCK3	20	0	0	20	0	0.0	0.0	0.0
PHYHIPL	20	0	0	20	0	0.0	0.0	0.0
SLC4A10	20	0	0	20	0	0.0	0.0	0.0
FSTL5	20	0	0	20	0	0.0	0.0	0.0
CTNNA2	20	0	0	20	0	0.0	0.0	0.0
ADAMTS3	20	0	1	19	1	0.006415164898142944	0.0	0.00444665346197491
MSI2	20	0	0	20	0	0.0	0.0	0.0
KCNC2	20	0	0	20	0	0.0	0.0	0.0
GRM5	20	0	0	20	0	0.0	0.0	0.0
HECW1	20	0	0	20	0	0.0	0.0	0.0
FGFR3	20	0	0	20	0	0.0	0.0	0.0
CHRM2	20	0	0	20	0	0.0	0.0	0.0
PPFIA2	20	0	0	20	0	0.0	0.0	0.0
KCNJ3	20	0	0	20	0	0.0	0.0	0.0
NOVA1	20	0	0	20	0	0.0	0.0	0.0
CACHD1	20	0	0	20	0	0.0	0.0	0.0
NOTCH2	20	0	1	19	1	0.007260880788296086	0.0	0.005032859046789305
ZEB2	20	0	0	20	0	0.0	0.0	0.0
SAMD5	20	0	0	20	0	0.0	0.0	0.0
ZFHX3	20	0	0	20	0	0.0	0.0	0.0
CACNA2D1	20	0	0	20	0	0.0	0.0	0.0
TANC1	20	0	0	20	0	0.0	0.0	0.0
TRHDE	20	0	10	10	1	0.3178014678220298	0.0	0.7620546373788287
KLHL1	20	0	8	12	1	0.032173442204667925	0.0	0.07069227794960277
BCAN	20	0	0	20	0	0.0	0.0	0.0
PTPRN2	20	0	0	20	0	0.0	0.0	0.0
PLCB1	20	0	0	20	0	0.0	0.0	0.0
RIMS1	20	0	0	20	0	0.0	0.0	0.0
SH3GL3	20	0	0	20	0	0.0	0.0	0.0
CDK6	20	0	0	20	0	0.0	0.0	0.0
FLRT2	20	0	0	20	0	0.0	0.0	0.0
TMEM132C	20	0	0	20	0	0.0	0.0	0.0
AQP4	20	0	2	18	1	0.018597702107752825	0.0	0.02043166407656606
PCLO	20	0	0	20	0	0.0	0.0	0.0
XKR4	20	0	0	20	0	0.0	0.0	0.0
GRIK2	20	0	0	20	0	0.0	0.0	0.0
ETV1	20	0	0	20	0	0.0	0.0	0.0
CDH8	20	0	0	20	0	0.0	0.0	0.0
AGBL4	20	0	0	20	0	0.0	0.0	0.0
CD99	17	0	2	15	1	0.021793688656105932	0.0	0.02394281417300476
MTUS2	20	0	0	20	0	0.0	0.0	0.0
LHX1	20	0	0	20	0	0.0	0.0	0.0
RREB1	20	0	0	20	0	0.0	0.0	0.0
DTHD1	20	0	0	20	0	0.0	0.0	0.0
DNAH14	20	0	0	20	0	0.0	0.0	0.0
SSTR2	20	0	0	20	0	0.0	0.0	0.0
IFI44L	20	0	0	20	0	0.0	0.0	0.0
AFF1	20	0	0	20	0	0.0	0.0	0.0
FRMPD4	20	0	0	20	0	0.0	0.0	0.0
ANTXR2	20	0	0	20	0	0.0	0.0	0.0
PCDH15	20	0	0	20	0	0.0	0.0	0.0
FGF14	20	0	0	20	0	0.0	0.0	0.0
BCL11A	20	0	0	20	0	0.0	0.0	0.0
TAFA2	20	0	0	20	0	0.0	0.0	0.0
STK3	20	0	2	18	1	0.03222575753915689	0.0	0.03540361324415675
FAM181B	20	0	0	20	0	0.0	0.0	0.0
DTNA	20	0	0	20	0	0.0	0.0	0.0
TEAD1	20	0	0	20	0	0.0	0.0	0.0
KANK1	20	0	3	17	1	0.01932605960322769	0.0	0.026791607450621455
PDGFRA	20	0	0	20	0	0.0	0.0	0.0
EDIL3	20	0	0	20	0	0.0	0.0	0.0
NCKAP5	20	0	0	20	0	0.0	0.0	0.0
PTPRR	20	0	0	20	0	0.0	0.0	0.0
PREX1	20	0	0	20	0	0.0	0.0	0.0
ARHGAP31	20	0	1	19	1	0.007478062839709015	0.0	0.005183398173394402
DAB1	20	0	0	20	0	0.0	0.0	0.0
VCAN	20	0	0	20	0	0.0	0.0	0.0
SLC5A7	20	0	4	16	1	0.05080620192076625	0.0	0.0817694275580634
ROBO1	20	0	0	20	0	0.0	0.0	0.0
DAAM2	20	0	0	20	0	0.0	0.0	0.0
GRIN2A	20	0	0	20	0	0.0	0.0	0.0
LPAR1	20	0	0	20	0	0.0	0.0	0.0
CSMD1	20	0	0	20	0	0.0	0.0	0.0
TFPI	20	0	0	20	0	0.0	0.0	0.0
RTN1	20	0	0	20	0	0.0	0.0	0.0
KCNQ3	20	0	0	20	0	0.0	0.0	0.0
RCAN2	20	0	0	20	0	0.0	0.0	0.0
GPR149	20	0	0	20	0	0.0	0.0	0.0
PLPPR4	20	0	0	20	0	0.0	0.0	0.0
CDH18	20	0	0	20	0	0.0	0.0	0.0
DOK6	20	0	0	20	0	0.0	0.0	0.0
NFIX	20	0	0	20	0	0.0	0.0	0.0
VIM	20	2	6	12	1	0.04270283786696686	0.0	0.08309588559879436
SLC17A6	20	0	0	20	0	0.0	0.0	0.0
PTCH1	20	0	0	20	0	0.0	0.0	0.0
PDE4D	20	0	0	20	0	0.0	0.0	0.0
NRG3	20	0	0	20	0	0.0	0.0	0.0
BMP7	20	0	0	20	0	0.0	0.0	0.0
ARHGAP42	20	0	0	20	0	0.0	0.0	0.0
CNTNAP2	20	0	0	20	0	0.0	0.0	0.0
SYBU	20	0	0	20	0	0.0	0.0	0.0
PDLIM3	20	0	0	20	0	0.0	0.0	0.0
NPAS3	20	0	0	20	0	0.0	0.0	0.0
CALN1	20	0	0	20	0	0.0	0.0	0.0
ZNF804B	20	0	0	20	0	0.0	0.0	0.0
CDH7	20	0	0	20	0	0.0	0.0	0.0
DNAH11	20	0	0	20	0	0.0	0.0	0.0
LAMP5	20	0	0	20	0	0.0	0.0	0.0
CSMD3	20	0	0	20	0	0.0	0.0	0.0
CACNB2	20	0	0	20	0	0.0	0.0	0.0
KCNH5	20	0	0	20	0	0.0	0.0	0.0
KHDRBS2	20	0	0	20	0	0.0	0.0	0.0
HS6ST3	20	0	0	20	0	0.0	0.0	0.0
SCN7A	20	0	0	20	0	0.0	0.0	0.0
PFKP	20	0	0	20	0	0.0	0.0	0.0
DRGX	20	0	0	20	0	0.0	0.0	0.0
VEPH1	20	0	0	20	0	0.0	0.0	0.0
LAMA4	20	0	0	20	0	0.0	0.0	0.0
NXPH2	20	0	0	20	0	0.0	0.0	0.0
TSHZ3	20	0	0	20	0	0.0	0.0	0.0
CALY	20	0	0	20	0	0.0	0.0	0.0
FRMD4A	20	0	0	20	0	0.0	0.0	0.0
DLGAP1	20	0	2	18	1	0.010793970073491522	0.0	0.011858388166253606
PHACTR1	20	0	0	20	0	0.0	0.0	0.0
FAT3	20	0	0	20	0	0.0	0.0	0.0
SPRY2	20	0	0	20	0	0.0	0.0	0.0
ALCAM	20	0	0	20	0	0.0	0.0	0.0
UNC5D	20	0	0	20	0	0.0	0.0	0.0
ANKS1B	20	0	0	20	0	0.0	0.0	0.0
ACSBG1	20	0	0	20	0	0.0	0.0	0.0
